timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
31686939,5.2368164,0.0,0,0,1,0,1,0,0
32186973,5.2513185,0.0,0,0,1,0,1,0,0
32686939,5.2271485,0.0,0,0,1,0,1,0,0
33196939,5.191699,0.0,0,0,1,0,1,0,0
33696939,5.235205,0.0,0,0,1,0,1,0,0
34196939,5.191699,0.0,0,0,1,0,1,0,0
34696939,5.2497067,0.0,0,0,1,0,1,0,0
35196939,5.230371,0.0,0,0,1,0,1,0,0
35696939,5.235205,0.0,0,0,1,0,1,0,0
36196939,5.2513185,0.0,0,0,1,0,1,0,0
36696939,5.190088,0.0,0,0,1,0,1,0,0
37206944,5.231982,0.0,0,0,1,0,1,0,0
37706939,5.1852536,0.0,0,0,1,0,1,0,0
38206939,5.244873,0.0,0,0,1,0,1,0,0
38706939,5.2497067,0.0,0,0,1,0,1,0,0
39206939,5.2368164,0.0,0,0,1,0,1,0,0
39706939,5.243262,0.0,0,0,1,0,1,0,0
40206939,5.1933103,0.0,0,0,1,0,1,0,0
40706939,5.215869,0.0,0,0,1,0,1,0,0
41206939,5.1868653,0.0,0,0,1,0,1,0,0
41706939,5.2480955,0.0,0,0,1,0,1,0,0
42206939,5.201367,0.0,0,0,1,0,1,0,0
42706939,5.231982,0.0,0,0,1,0,1,0,0
43216939,5.2239256,0.0,0,0,1,0,1,0,0
43716939,5.1884766,0.0,0,0,1,0,1,0,0
44216953,5.231982,0.0,0,0,1,0,1,0,0
44716939,5.18042,0.0,0,0,1,0,1,0,0
45216939,5.244873,0.0,0,0,1,0,1,0,0
45716939,5.20459,0.0,0,0,1,0,1,0,0
46216939,5.22876,0.0,0,0,1,0,1,0,0
46716939,5.244873,0.0,0,0,1,0,1,0,0
47216939,5.2497067,0.0,0,0,1,0,1,0,0
47716939,5.2513185,0.0,0,0,1,0,1,0,0
48216939,5.1997557,0.0,0,0,1,0,1,0,0
48716939,5.244873,0.0,0,0,1,0,1,0,0
49216939,5.2029786,0.0,0,0,1,0,1,0,0
49716946,5.231982,0.0,0,0,1,0,1,0,0
50216939,5.18042,0.0,0,0,1,0,1,0,0
50716939,5.270654,0.0,0,0,1,0,1,0,0
51216939,5.230371,0.0,0,0,1,0,1,0,0
51726939,5.1884766,0.0,0,0,1,0,1,0,0
52226939,5.244873,0.0,0,0,1,0,1,0,0
52726939,5.201367,0.0,0,0,1,0,1,0,0
53726939,5.20459,0.0,0,0,1,0,1,0,0
54226939,5.2480955,0.0,0,0,1,0,1,0,0
54726939,5.231982,0.0,0,0,1,0,1,0,0
55226939,5.206201,0.0,0,0,1,0,1,0,0
55726939,5.2384276,0.0,0,0,1,0,1,0,0
56226949,5.1884766,0.0,0,0,1,0,1,0,0
56726939,5.230371,0.0,0,0,1,0,1,0,0
57226939,5.190088,0.0,0,0,1,0,1,0,0
57726939,5.2464843,0.0,0,0,1,0,1,0,0
58226939,5.20459,0.0,0,0,1,0,1,0,0
